# Generated=20150326-13:59:00, User=unsj
# Linux keira-ubuntu 3.5.0-17-generic #28-Ubuntu SMP Tue Oct 9 19:31:23 UTC 2012 x86_64 x86_64 x86_64 GNU/Linux
# Machine (5958MB)
#   Socket L#0 + L3 L#0 (12MB)
#     L2 L#0 (256KB) + L1 L#0 (32KB) + Core L#0 + PU L#0 (P#0)
#     L2 L#1 (256KB) + L1 L#1 (32KB) + Core L#1 + PU L#1 (P#2)
#     L2 L#2 (256KB) + L1 L#2 (32KB) + Core L#2 + PU L#2 (P#4)
#     L2 L#3 (256KB) + L1 L#3 (32KB) + Core L#3 + PU L#3 (P#6)
#     L2 L#4 (256KB) + L1 L#4 (32KB) + Core L#4 + PU L#4 (P#8)
#     L2 L#5 (256KB) + L1 L#5 (32KB) + Core L#5 + PU L#5 (P#10)
#   Socket L#1 + L3 L#1 (12MB)
#     L2 L#6 (256KB) + L1 L#6 (32KB) + Core L#6 + PU L#6 (P#1)
#     L2 L#7 (256KB) + L1 L#7 (32KB) + Core L#7 + PU L#7 (P#3)
#     L2 L#8 (256KB) + L1 L#8 (32KB) + Core L#8 + PU L#8 (P#5)
#     L2 L#9 (256KB) + L1 L#9 (32KB) + Core L#9 + PU L#9 (P#7)
#     L2 L#10 (256KB) + L1 L#10 (32KB) + Core L#10 + PU L#10 (P#9)
#     L2 L#11 (256KB) + L1 L#11 (32KB) + Core L#11 + PU L#11 (P#11)
ExperimentNumber,Algorithm,Text,InitialTotalAlloc(B),FinalTotalAllac(B),PeakAlloc(B),InitialCurrentAlloc(B),FinalCurrentAlloc(B)
49,psa,/home/unsj/datasets/proteins.32MB, 167772724, 2449422836, 2147450252, 167772156, 2147448164
50,psa,/home/unsj/datasets/english.128MB, 671089204, 10871396844, 9663038852, 671088636, 9663036764
51,psa,/home/unsj/datasets/proteins.32MB, 167772724, 1103108292, 811601332, 167772156, 801115532
52,psa,/home/unsj/datasets/english.128MB, 671089204, 5498737740, 4294970796, 671088636, 4290776452
53,psa,/home/unsj/datasets/proteins.32MB, 167772724, 1778258440, 1476332960, 167772156, 1476267384
54,psa,/home/unsj/datasets/english.128MB, 671089204, 8187154944, 6979259800, 671088636, 6979194224
55,psa,/home/unsj/datasets/proteins.4MB, 20972084, 255844864, 218109336, 20971516, 218107248
56,psa,/home/unsj/datasets/english.16MB, 83886644, 1157609976, 1006640528, 83886076, 1006638440
57,psa,/home/unsj/datasets/proteins.4MB, 20972084, 83890728, 62918076, 20971516, 46140824
58,psa,/home/unsj/datasets/english.16MB, 83886644, 482350736, 348130740, 83886076, 331353488
59,psa,/home/unsj/datasets/proteins.4MB, 20972084, 171840020, 134417836, 20971516, 134090116
60,psa,/home/unsj/datasets/english.16MB, 83886644, 821957132, 671026596, 83886076, 670961020
61,psa,/home/unsj/datasets/proteins.64MB, 335544884, 5167014384, 4563193224, 335544316, 4563191136
62,psa,/home/unsj/datasets/english.1MB, 5243444, 55573000, 46142880, 5242876, 46136696
63,psa,/home/unsj/datasets/proteins.64MB, 335544884, 2478838296, 1883246000, 335544316, 1874857352
64,psa,/home/unsj/datasets/english.1MB, 5243444, 9441840, 4197828, 5242876, 3488
65,psa,/home/unsj/datasets/proteins.64MB, 335544884, 3825078788, 3221163420, 335544316, 3221097844
66,psa,/home/unsj/datasets/english.1MB, 5243444, 34476572, 25497012, 5242876, 25038220
67,psa,/home/unsj/datasets/proteins.8MB, 41943604, 545241596, 469767572, 41943036, 469765484
68,psa,/home/unsj/datasets/english.2MB, 10486324, 119529988, 100656536, 10485756, 100646260
69,psa,/home/unsj/datasets/proteins.8MB, 41943604, 205527244, 157289912, 41943036, 130026900
70,psa,/home/unsj/datasets/english.2MB, 10486324, 31461932, 20975040, 10485756, 12586396
71,psa,/home/unsj/datasets/proteins.8MB, 41943604, 377362616, 302124456, 41943036, 301862272
72,psa,/home/unsj/datasets/english.2MB, 10486324, 77470456, 58920368, 10485756, 58592648
