# Generated=20150326-15:29:24, User=unsj
# Linux keira-ubuntu 3.5.0-17-generic #28-Ubuntu SMP Tue Oct 9 19:31:23 UTC 2012 x86_64 x86_64 x86_64 GNU/Linux
# Machine (5958MB)
#   Socket L#0 + L3 L#0 (12MB)
#     L2 L#0 (256KB) + L1 L#0 (32KB) + Core L#0 + PU L#0 (P#0)
#     L2 L#1 (256KB) + L1 L#1 (32KB) + Core L#1 + PU L#1 (P#2)
#     L2 L#2 (256KB) + L1 L#2 (32KB) + Core L#2 + PU L#2 (P#4)
#     L2 L#3 (256KB) + L1 L#3 (32KB) + Core L#3 + PU L#3 (P#6)
#     L2 L#4 (256KB) + L1 L#4 (32KB) + Core L#4 + PU L#4 (P#8)
#     L2 L#5 (256KB) + L1 L#5 (32KB) + Core L#5 + PU L#5 (P#10)
#   Socket L#1 + L3 L#1 (12MB)
#     L2 L#6 (256KB) + L1 L#6 (32KB) + Core L#6 + PU L#6 (P#1)
#     L2 L#7 (256KB) + L1 L#7 (32KB) + Core L#7 + PU L#7 (P#3)
#     L2 L#8 (256KB) + L1 L#8 (32KB) + Core L#8 + PU L#8 (P#5)
#     L2 L#9 (256KB) + L1 L#9 (32KB) + Core L#9 + PU L#9 (P#7)
#     L2 L#10 (256KB) + L1 L#10 (32KB) + Core L#10 + PU L#10 (P#9)
#     L2 L#11 (256KB) + L1 L#11 (32KB) + Core L#11 + PU L#11 (P#11)
ExperimentNumber,Algorithm,NumberOfThreads,InputFile,LengthOfText,ElapsedTimeSec,Instructions,LLCReadMisses,LLCWriteMisses
53,sais,1,/home/unsj/datasets/dna.1MB,1048575,0.117320,281743653,6615,45938
54,sais,1,/home/unsj/datasets/dna.1MB,1048575,0.117472,281728241,6584,47866
55,sais,1,/home/unsj/datasets/english.8MB,8388607,1.414146,2411116820,10971882,3622688
56,sais,1,/home/unsj/datasets/english.8MB,8388607,1.423910,2407250255,11119165,3741227
57,sais,1,/home/unsj/datasets/english.8MB,8388607,1.416363,2406513026,11126419,3610424
58,sais,1,/home/unsj/datasets/dna.2MB,2097151,0.243424,562777598,72776,213870
59,sais,1,/home/unsj/datasets/dna.2MB,2097151,0.244316,561893366,79636,196728
60,sais,1,/home/unsj/datasets/dna.2MB,2097151,0.245646,561650885,99068,215995
61,sais,1,/home/unsj/datasets/english.8MB,8388607,1.416267,2406543528,10925197,3737675
62,sais,1,/home/unsj/datasets/english.8MB,8388607,1.436559,2406649053,11687896,3690979
63,sais,1,/home/unsj/datasets/english.8MB,8388607,1.404987,2406499733,10872556,3734354
64,sais,1,/home/unsj/datasets/dna.2MB,2097151,0.245192,561724490,86989,224329
65,sais,1,/home/unsj/datasets/dna.2MB,2097151,0.244593,561650931,77889,199316
66,sais,1,/home/unsj/datasets/dna.2MB,2097151,0.244462,561639496,81423,200331
67,sais,1,/home/unsj/datasets/english.8MB,8388607,1.210172,2406343146,10769619,3514717
68,sais,1,/home/unsj/datasets/english.8MB,8388607,1.230857,2406486607,11605815,3535680
69,sais,1,/home/unsj/datasets/english.8MB,8388607,1.212609,2406331562,10833009,3491264
70,sais,1,/home/unsj/datasets/dna.2MB,2097151,0.242777,561652431,78436,232939
71,sais,1,/home/unsj/datasets/dna.2MB,2097151,0.245657,561722468,90279,248536
72,sais,1,/home/unsj/datasets/dna.2MB,2097151,0.244261,561651729,82156,202707
73,sais,1,/home/unsj/datasets/proteins.128MB,134217727,51.658174,39143074409,760811315,131710587
74,sais,1,/home/unsj/datasets/proteins.128MB,134217727,51.672185,39077051233,760822446,131687833
75,sais,1,/home/unsj/datasets/proteins.128MB,134217727,38.761056,39052910606,744887902,124383909
76,sais,1,/home/unsj/datasets/dna.32MB,33554431,6.712837,9088821741,105228173,19985463
77,sais,1,/home/unsj/datasets/dna.32MB,33554431,6.690438,9072822737,102060339,20189301
78,sais,1,/home/unsj/datasets/dna.32MB,33554431,6.709916,9070480803,105097340,20035379
79,sais,1,/home/unsj/datasets/proteins.128MB,134217727,51.589554,39067213272,757355844,131667698
80,sais,1,/home/unsj/datasets/proteins.128MB,134217727,38.710447,39052732958,741478670,124406420
81,sais,1,/home/unsj/datasets/proteins.128MB,134217727,51.633261,39067157921,757413384,131652462
82,sais,1,/home/unsj/datasets/dna.32MB,33554431,8.531218,9072415552,107548451,21491572
83,sais,1,/home/unsj/datasets/dna.32MB,33554431,8.473893,9072264212,103927506,21670711
84,sais,1,/home/unsj/datasets/dna.32MB,33554431,8.540763,9072361623,107526670,21617373
85,sais,1,/home/unsj/datasets/proteins.128MB,134217727,51.582661,39066903006,757230516,131725424
86,sais,1,/home/unsj/datasets/proteins.128MB,134217727,51.597565,39066501592,757214413,131677889
87,sais,1,/home/unsj/datasets/proteins.128MB,134217727,51.616299,39066981302,757347906,131705628
88,sais,1,/home/unsj/datasets/dna.32MB,33554431,8.534869,9072508038,107746474,21455330
89,sais,1,/home/unsj/datasets/dna.32MB,33554431,8.498083,9072409444,103988704,21745910
90,sais,1,/home/unsj/datasets/dna.32MB,33554431,8.521414,9072583321,107502962,21576857
91,sais,1,/home/unsj/datasets/proteins.16MB,16777215,3.165500,4853891929,50450467,11991784
92,sais,1,/home/unsj/datasets/proteins.16MB,16777215,4.068946,4847056468,52756783,12712581
93,sais,1,/home/unsj/datasets/proteins.16MB,16777215,4.015485,4845773226,51322749,12640926
94,sais,1,/home/unsj/datasets/dna.4MB,4194303,0.589351,1127360551,1618619,1318391
95,sais,1,/home/unsj/datasets/dna.4MB,4194303,0.634862,1125495808,2773574,1272556
96,sais,1,/home/unsj/datasets/dna.4MB,4194303,0.596526,1125083490,1760138,1293212
97,sais,1,/home/unsj/datasets/proteins.16MB,16777215,3.169954,4844836358,51772329,12091335
98,sais,1,/home/unsj/datasets/proteins.16MB,16777215,3.986584,4845697532,49909210,12563096
99,sais,1,/home/unsj/datasets/proteins.16MB,16777215,4.024603,4845697107,51763276,12777715
100,sais,1,/home/unsj/datasets/dna.4MB,4194303,0.556601,1124964663,942583,900768
101,sais,1,/home/unsj/datasets/dna.4MB,4194303,0.555789,1125037286,873536,1060044
102,sais,1,/home/unsj/datasets/dna.4MB,4194303,0.555123,1124984843,885909,893727
103,sais,1,/home/unsj/datasets/proteins.16MB,16777215,3.177708,4844796135,51746949,11185849
104,sais,1,/home/unsj/datasets/proteins.16MB,16777215,4.019303,4845735362,50633096,12752484
105,sais,1,/home/unsj/datasets/proteins.16MB,16777215,4.026582,4845751974,52399362,11809934
106,sais,1,/home/unsj/datasets/dna.4MB,4194303,0.600020,1125011532,1901605,1107467
107,sais,1,/home/unsj/datasets/dna.4MB,4194303,0.559376,1125021093,1964542,1132616
108,sais,1,/home/unsj/datasets/dna.4MB,4194303,0.556480,1125057396,1726418,1067859
109,sais,1,/home/unsj/datasets/proteins.1MB,1048575,0.127033,308705682,17341,96289
110,sais,1,/home/unsj/datasets/proteins.1MB,1048575,0.126784,308257817,17836,58049
111,sais,1,/home/unsj/datasets/proteins.1MB,1048575,0.126622,308150357,18805,56706
112,sais,1,/home/unsj/datasets/dna.64MB,67108863,19.567450,18183365627,271284363,46640196
113,sais,1,/home/unsj/datasets/dna.64MB,67108863,19.575935,18150633406,271376171,46658651
114,sais,1,/home/unsj/datasets/dna.64MB,67108863,14.979260,18140592833,266235530,43328458
115,sais,1,/home/unsj/datasets/proteins.1MB,1048575,0.163011,308202673,983908,502516
116,sais,1,/home/unsj/datasets/proteins.1MB,1048575,0.172333,308212096,1128633,538180
117,sais,1,/home/unsj/datasets/proteins.1MB,1048575,0.148988,308252249,1207908,443359
118,sais,1,/home/unsj/datasets/dna.64MB,67108863,19.568645,18145568258,271302788,46327481
119,sais,1,/home/unsj/datasets/dna.64MB,67108863,14.996643,18140782508,266224758,43349077
120,sais,1,/home/unsj/datasets/dna.64MB,67108863,19.567438,18145578074,271344128,46643405
121,sais,1,/home/unsj/datasets/proteins.1MB,1048575,0.150102,308199891,1261357,611584
122,sais,1,/home/unsj/datasets/proteins.1MB,1048575,0.162902,308205630,852993,460949
123,sais,1,/home/unsj/datasets/proteins.1MB,1048575,0.141530,308176244,786115,466661
124,sais,1,/home/unsj/datasets/dna.64MB,67108863,14.972405,18140636989,265915160,43357683
125,sais,1,/home/unsj/datasets/dna.64MB,67108863,19.562949,18145581087,271074371,46715302
126,sais,1,/home/unsj/datasets/dna.64MB,67108863,19.564796,18145497266,271220205,46673621
127,sais,1,/home/unsj/datasets/proteins.2MB,2097151,0.414544,616167664,4816722,975132
128,sais,1,/home/unsj/datasets/proteins.2MB,2097151,0.324332,615085034,3683230,820204
129,sais,1,/home/unsj/datasets/proteins.2MB,2097151,0.295726,614880259,1882877,935074
130,sais,1,/home/unsj/datasets/dna.8MB,8388607,1.732953,2258232659,16531166,4190844
131,sais,1,/home/unsj/datasets/dna.8MB,8388607,1.460305,2253942539,17808881,3665726
132,sais,1,/home/unsj/datasets/dna.8MB,8388607,1.440484,2253236831,16773065,4019710
133,sais,1,/home/unsj/datasets/proteins.2MB,2097151,0.311239,614955983,1104156,766429
134,sais,1,/home/unsj/datasets/proteins.2MB,2097151,0.297228,614861861,1981281,682948
135,sais,1,/home/unsj/datasets/proteins.2MB,2097151,0.288782,614878314,1323648,709691
136,sais,1,/home/unsj/datasets/dna.8MB,8388607,1.464367,2253343078,17726790,3683979
137,sais,1,/home/unsj/datasets/dna.8MB,8388607,1.737848,2253666353,16627436,4247493
138,sais,1,/home/unsj/datasets/dna.8MB,8388607,1.796534,2253602699,18312549,3827570
139,sais,1,/home/unsj/datasets/proteins.2MB,2097151,0.308420,614950488,1062634,766193
140,sais,1,/home/unsj/datasets/proteins.2MB,2097151,0.292327,614848021,1558514,694305
141,sais,1,/home/unsj/datasets/proteins.2MB,2097151,0.289342,614825576,1356904,689221
142,sais,1,/home/unsj/datasets/dna.8MB,8388607,1.707822,2253509007,15425561,4160988
143,sais,1,/home/unsj/datasets/dna.8MB,8388607,1.484952,2253365736,18384834,3539325
144,sais,1,/home/unsj/datasets/dna.8MB,8388607,1.398568,2253181410,14264341,4080389
145,sais,1,/home/unsj/datasets/proteins.32MB,33554431,10.036076,9777969293,138177209,26233747
146,sais,1,/home/unsj/datasets/proteins.32MB,33554431,7.658686,9759029701,135853689,24653227
147,sais,1,/home/unsj/datasets/proteins.32MB,33554431,10.040175,9759039976,138612764,26226433
148,sais,1,/home/unsj/datasets/english.128MB,134217727,32.269381,38784287655,712503181,112940010
149,sais,1,/home/unsj/datasets/english.128MB,134217727,32.307084,38727218530,712511413,112875921
150,sais,1,/home/unsj/datasets/english.128MB,134217727,42.845647,38729043779,725395171,120088689
151,sais,1,/home/unsj/datasets/proteins.32MB,33554431,10.120359,9759021579,137127365,27679564
152,sais,1,/home/unsj/datasets/proteins.32MB,33554431,10.144198,9759049449,137681245,27608590
153,sais,1,/home/unsj/datasets/proteins.32MB,33554431,10.132465,9759030039,137299576,27668716
154,sais,1,/home/unsj/datasets/english.128MB,134217727,42.768083,38728681976,725475899,120062078
155,sais,1,/home/unsj/datasets/english.128MB,134217727,32.232909,38717877234,712448451,112855197
156,sais,1,/home/unsj/datasets/english.128MB,134217727,42.789278,38728777799,725301143,120041374
157,sais,1,/home/unsj/datasets/proteins.32MB,33554431,7.702375,9756398631,134966618,26052530
158,sais,1,/home/unsj/datasets/proteins.32MB,33554431,7.698303,9756236152,135762595,26456887
159,sais,1,/home/unsj/datasets/proteins.32MB,33554431,7.705331,9756489635,134813441,26005176
160,sais,1,/home/unsj/datasets/english.128MB,134217727,32.242172,38717508200,712514196,112878076
161,sais,1,/home/unsj/datasets/english.128MB,134217727,42.801950,38729356358,725466857,120076618
162,sais,1,/home/unsj/datasets/english.128MB,134217727,32.283468,38717942013,712578024,112857479
163,sais,1,/home/unsj/datasets/proteins.4MB,4194303,0.605617,1228447778,2535975,1301199
164,sais,1,/home/unsj/datasets/proteins.4MB,4194303,0.624601,1228529410,3347640,1475476
165,sais,1,/home/unsj/datasets/proteins.4MB,4194303,0.731688,1228654621,4140464,1520319
166,sais,1,/home/unsj/datasets/english.16MB,16777215,2.991413,4822266416,53162106,10202661
167,sais,1,/home/unsj/datasets/english.16MB,16777215,3.007669,4822397281,53788103,9905204
168,sais,1,/home/unsj/datasets/english.16MB,16777215,2.989572,4822342605,53600457,10137085
169,sais,1,/home/unsj/datasets/proteins.4MB,4194303,0.628032,1228531078,3727353,1393059
170,sais,1,/home/unsj/datasets/proteins.4MB,4194303,0.684919,1228521638,3069464,1512984
171,sais,1,/home/unsj/datasets/proteins.4MB,4194303,0.609806,1228437140,2703941,1484090
172,sais,1,/home/unsj/datasets/english.16MB,16777215,3.018464,4822376387,54101040,10453761
173,sais,1,/home/unsj/datasets/english.16MB,16777215,3.777227,4823136652,54233346,10525694
174,sais,1,/home/unsj/datasets/english.16MB,16777215,3.828156,4823351450,54096882,11057426
175,sais,1,/home/unsj/datasets/proteins.4MB,4194303,0.707355,1228588267,3825375,1390269
176,sais,1,/home/unsj/datasets/proteins.4MB,4194303,0.689892,1228520332,3362145,1382303
177,sais,1,/home/unsj/datasets/proteins.4MB,4194303,0.704684,1228597295,4005178,1419512
178,sais,1,/home/unsj/datasets/english.16MB,16777215,3.807105,4823263836,54261861,10832801
179,sais,1,/home/unsj/datasets/english.16MB,16777215,2.984529,4822287837,52023187,9880167
180,sais,1,/home/unsj/datasets/english.16MB,16777215,2.992460,4822261810,52904272,10288952
181,sais,1,/home/unsj/datasets/proteins.64MB,67108863,19.225858,19697160772,325819990,61148439
182,sais,1,/home/unsj/datasets/proteins.64MB,67108863,19.184482,19696908366,325442342,61195663
183,sais,1,/home/unsj/datasets/proteins.64MB,67108863,19.200023,19697046592,325842543,61165878
184,sais,1,/home/unsj/datasets/english.1MB,1048575,0.108994,301120105,27041,105063
185,sais,1,/home/unsj/datasets/english.1MB,1048575,0.109142,301181111,22192,64330
186,sais,1,/home/unsj/datasets/english.1MB,1048575,0.108933,301101737,29388,105858
187,sais,1,/home/unsj/datasets/proteins.64MB,67108863,25.822826,19704440186,332801902,64602353
188,sais,1,/home/unsj/datasets/proteins.64MB,67108863,25.841024,19704855331,333144103,64556372
189,sais,1,/home/unsj/datasets/proteins.64MB,67108863,19.199643,19697489044,325387326,61139100
190,sais,1,/home/unsj/datasets/english.1MB,1048575,0.109243,301115052,48887,103700
191,sais,1,/home/unsj/datasets/english.1MB,1048575,0.109361,301224856,56286,102119
192,sais,1,/home/unsj/datasets/english.1MB,1048575,0.108377,301112350,16423,66131
193,sais,1,/home/unsj/datasets/proteins.64MB,67108863,25.813165,19704512499,333264469,64554957
194,sais,1,/home/unsj/datasets/proteins.64MB,67108863,25.819757,19704826170,332802336,64597755
195,sais,1,/home/unsj/datasets/proteins.64MB,67108863,25.804508,19704546357,333239064,64590044
196,sais,1,/home/unsj/datasets/english.1MB,1048575,0.109428,301139339,30217,105976
197,sais,1,/home/unsj/datasets/english.1MB,1048575,0.108308,301126834,26278,96314
198,sais,1,/home/unsj/datasets/english.1MB,1048575,0.108239,301119678,22067,65735
199,sais,1,/home/unsj/datasets/proteins.8MB,8388607,1.395794,2436714258,14359920,3885072
200,sais,1,/home/unsj/datasets/proteins.8MB,8388607,1.396981,2436616282,15110091,4212669
201,sais,1,/home/unsj/datasets/proteins.8MB,8388607,1.426693,2436704382,16638466,3768563
202,sais,1,/home/unsj/datasets/english.2MB,2097151,0.234188,604059646,291610,322874
203,sais,1,/home/unsj/datasets/english.2MB,2097151,0.244113,604077658,323625,386413
204,sais,1,/home/unsj/datasets/english.2MB,2097151,0.238219,604150318,175690,374866
205,sais,1,/home/unsj/datasets/proteins.8MB,8388607,1.758562,2436975448,17565190,4027301
206,sais,1,/home/unsj/datasets/proteins.8MB,8388607,1.740372,2437020607,16937112,4327302
207,sais,1,/home/unsj/datasets/proteins.8MB,8388607,1.751554,2437033625,17728286,4044484
208,sais,1,/home/unsj/datasets/english.2MB,2097151,0.232085,604057930,345302,359605
209,sais,1,/home/unsj/datasets/english.2MB,2097151,0.230819,604139699,202006,331324
210,sais,1,/home/unsj/datasets/english.2MB,2097151,0.241331,604082718,272698,377869
211,sais,1,/home/unsj/datasets/proteins.8MB,8388607,1.743217,2437005284,17115181,4026274
212,sais,1,/home/unsj/datasets/proteins.8MB,8388607,1.689497,2436895678,15731521,4226190
213,sais,1,/home/unsj/datasets/proteins.8MB,8388607,1.687849,2436927441,16011135,4069996
214,sais,1,/home/unsj/datasets/english.2MB,2097151,0.234483,604058429,199554,310191
215,sais,1,/home/unsj/datasets/english.2MB,2097151,0.233649,604171519,231011,390050
216,sais,1,/home/unsj/datasets/english.2MB,2097151,0.239197,604093207,222299,414371
