# Generated=20150326-11:55:16, User=unsj
# Linux keira-ubuntu 3.5.0-17-generic #28-Ubuntu SMP Tue Oct 9 19:31:23 UTC 2012 x86_64 x86_64 x86_64 GNU/Linux
# Machine (5958MB)
#   Socket L#0 + L3 L#0 (12MB)
#     L2 L#0 (256KB) + L1 L#0 (32KB) + Core L#0 + PU L#0 (P#0)
#     L2 L#1 (256KB) + L1 L#1 (32KB) + Core L#1 + PU L#1 (P#2)
#     L2 L#2 (256KB) + L1 L#2 (32KB) + Core L#2 + PU L#2 (P#4)
#     L2 L#3 (256KB) + L1 L#3 (32KB) + Core L#3 + PU L#3 (P#6)
#     L2 L#4 (256KB) + L1 L#4 (32KB) + Core L#4 + PU L#4 (P#8)
#     L2 L#5 (256KB) + L1 L#5 (32KB) + Core L#5 + PU L#5 (P#10)
#   Socket L#1 + L3 L#1 (12MB)
#     L2 L#6 (256KB) + L1 L#6 (32KB) + Core L#6 + PU L#6 (P#1)
#     L2 L#7 (256KB) + L1 L#7 (32KB) + Core L#7 + PU L#7 (P#3)
#     L2 L#8 (256KB) + L1 L#8 (32KB) + Core L#8 + PU L#8 (P#5)
#     L2 L#9 (256KB) + L1 L#9 (32KB) + Core L#9 + PU L#9 (P#7)
#     L2 L#10 (256KB) + L1 L#10 (32KB) + Core L#10 + PU L#10 (P#9)
#     L2 L#11 (256KB) + L1 L#11 (32KB) + Core L#11 + PU L#11 (P#11)
ExperimentNumber,Algorithm,NumberOfThreads,InputFile,LengthOfText,ElapsedTimeSec,Instructions,LLCReadMisses,LLCWriteMisses
52,psa,12,/home/unsj/datasets/dna.1MB,1048575,0.138862,4739891603,84597,515196
53,psa,12,/home/unsj/datasets/dna.1MB,1048575,0.137899,4755697962,93986,506325
54,psa,12,/home/unsj/datasets/dna.1MB,1048575,0.136096,4755978743,90889,510141
55,psa,12,/home/unsj/datasets/english.8MB,8388607,2.667597,81750474808,5372356,8308379
56,psa,12,/home/unsj/datasets/english.8MB,8388607,2.090957,81594603644,5137490,8265087
57,psa,12,/home/unsj/datasets/english.8MB,8388607,2.303535,81717603995,5356422,8286282
58,psa,12,/home/unsj/datasets/dna.2MB,2097151,0.444478,16131600089,495513,1819380
59,psa,12,/home/unsj/datasets/dna.2MB,2097151,0.439170,16163924994,495983,1817569
60,psa,12,/home/unsj/datasets/dna.2MB,2097151,0.434600,16078844329,490640,1818387
61,psa,12,/home/unsj/datasets/english.8MB,8388607,1.164913,42192832534,4534546,3201174
62,psa,12,/home/unsj/datasets/english.8MB,8388607,1.201910,43617002737,4405694,3221430
63,psa,12,/home/unsj/datasets/english.8MB,8388607,1.185501,41985198884,4616989,3138120
64,psa,12,/home/unsj/datasets/dna.2MB,2097151,0.700919,27792446209,368502,464594
65,psa,12,/home/unsj/datasets/dna.2MB,2097151,0.744053,29371381594,378906,433554
66,psa,12,/home/unsj/datasets/dna.2MB,2097151,0.698795,27712136965,371357,438836
67,psa,12,/home/unsj/datasets/english.8MB,8388607,1.514707,60033067036,4615672,5477129
68,psa,12,/home/unsj/datasets/english.8MB,8388607,1.531697,60027349192,4398155,5484863
69,psa,12,/home/unsj/datasets/english.8MB,8388607,1.535096,60047450184,4440794,5490296
70,psa,12,/home/unsj/datasets/dna.2MB,2097151,0.288199,10684647295,373799,1133887
71,psa,12,/home/unsj/datasets/dna.2MB,2097151,0.293680,10683095080,359933,1126811
72,psa,12,/home/unsj/datasets/dna.2MB,2097151,0.301834,10872986265,369772,1133486
73,psa,12,/home/unsj/datasets/proteins.128MB,134217727,172.906822,1663441952176,688356084,173719817
74,psa,12,/home/unsj/datasets/proteins.128MB,134217727,157.117965,1646132289848,675523171,172428495
75,psa,12,/home/unsj/datasets/proteins.128MB,134217727,155.570493,1608722931872,688844346,173137685
76,psa,12,/home/unsj/datasets/dna.32MB,33554431,8.899575,336215339908,94215344,37524010
77,psa,12,/home/unsj/datasets/dna.32MB,33554431,8.855721,336145064006,89409021,37454341
78,psa,12,/home/unsj/datasets/dna.32MB,33554431,9.441499,336318893085,90283138,37589661
79,psa,12,/home/unsj/datasets/proteins.128MB,134217727,23.892388,832541774266,810899209,85017010
80,psa,12,/home/unsj/datasets/proteins.128MB,134217727,23.935408,832470978552,815405998,84706626
81,psa,12,/home/unsj/datasets/proteins.128MB,134217727,23.925645,832451126531,800962129,84702562
82,psa,12,/home/unsj/datasets/dna.32MB,33554431,4.774614,163751025824,97338129,16997155
83,psa,12,/home/unsj/datasets/dna.32MB,33554431,4.801441,163698935111,104041932,17108756
84,psa,12,/home/unsj/datasets/dna.32MB,33554431,4.788320,163735306976,106067832,17034897
85,psa,12,/home/unsj/datasets/proteins.128MB,134217727,86.720866,1237120894120,775002735,126450964
86,psa,12,/home/unsj/datasets/proteins.128MB,134217727,85.326793,1299229170690,760854318,127082532
87,psa,12,/home/unsj/datasets/proteins.128MB,134217727,86.168815,1327090250325,763172569,126773504
88,psa,12,/home/unsj/datasets/dna.32MB,33554431,6.448212,249883570654,95061702,26327976
89,psa,12,/home/unsj/datasets/dna.32MB,33554431,6.434044,249845062384,97699171,26319697
90,psa,12,/home/unsj/datasets/dna.32MB,33554431,6.528793,249843143524,97131907,26299807
91,psa,12,/home/unsj/datasets/proteins.16MB,16777215,4.406061,159707795619,20117222,17674006
92,psa,12,/home/unsj/datasets/proteins.16MB,16777215,4.139722,159672141637,19995800,17608657
93,psa,12,/home/unsj/datasets/proteins.16MB,16777215,4.402925,159709461877,19613193,17657634
94,psa,12,/home/unsj/datasets/dna.4MB,4194303,1.214226,34694826257,1671770,3896589
95,psa,12,/home/unsj/datasets/dna.4MB,4194303,1.032389,34628053176,1684011,3883522
96,psa,12,/home/unsj/datasets/dna.4MB,4194303,1.018008,34642440806,1704998,3886684
97,psa,12,/home/unsj/datasets/proteins.16MB,16777215,2.504450,94513545012,17501868,7254950
98,psa,12,/home/unsj/datasets/proteins.16MB,16777215,2.620437,95462518554,16790679,7267773
99,psa,12,/home/unsj/datasets/proteins.16MB,16777215,2.210763,81577633239,16308473,7194870
100,psa,12,/home/unsj/datasets/dna.4MB,4194303,0.783343,29173640747,1306537,1292499
